name,category,measurement-1,ingredient-1,measurement-2,ingredient-2,measurement-3,ingredient-3,measurement-4,ingredient-4,measurement-5,ingredient-5,measurement-6,ingredient-6,glass
gauguin,cocktail classics,2 oz,light rum,1 oz,passion fruit syrup,1 oz,lemon juice,1 oz,lime juice,,,,,old-fashioned glass
fort lauderdale,cocktail classics,1 1/2 oz,light rum,1/2 oz,sweet vermouth,1/4 oz,juice of orange,1/4 oz,juice of a lime,,,,,old-fashioned glass
apple pie,cordials and liqueurs,3 oz,apple schnapps,1 oz,cinnamon schnapps,,apple slice,,,,,,,old-fashioned glass
cuban cocktail no. 1,cocktail classics,1/2 oz,juice of a lime,1/2 oz,powdered sugar,2 oz,light rum,,,,,,,cocktail glass
cool carlos,cocktail classics,1 1/2 oz,dark rum,2 oz,cranberry juice,2 oz,pineapple juice,1 oz,orange curacao,1 oz,sour mix,,,collins glass
john collins,whiskies,2 oz,bourbon whiskey,1 oz,fresh lemon juice,1/2 oz,simple syrup,1 oz,soda water,1 oz,"orange and lemon wheels, maraschino cherry",,,collins glass
cherry rum,cocktail classics,1 1/4 oz,light rum,1 1/2 oz,cherry-flavored brandy,1 oz,light cream,,,,,,,cocktail glass
casa blanca,cocktail classics,2 oz,light rum,1 1/2 oz,lime juice,1 1/2 oz,triple sec,1 1/2 oz,maraschino,,,,,cocktail glass
caribbean champagne,cocktail classics,1/2 oz,light rum,1/2 oz,creme de banana,,chilled champagne,,,,,,,champagne flute
amber amour,cordials and liqueurs,1 1/2 oz,amaretto,1/4 oz,fresh lemon juice,1/4 oz,simple syrup,,soda water,maraschino cherry,,,,collins glass
the joe lewis,whiskies,1 1/2 oz,scotch whiskey,1 oz,fresh carrot juice,3/4 oz,tawny port,1/2 oz,fresh lemon juice,1 oz,agave nectar,,,cocktail glass
bacardi cocktail,cocktail classics,1 1/2 oz,bacardi rum,1/2 oz,juice of a lime,1/2 oz,grenadine,,,,,,,cocktail glass
apple pie no. 1,cocktail classics,3/4 oz,light rum,3/4 oz,sweet vermouth,1 oz,apple brandy,1/2 oz,grenadine,1 oz,lemon juice,,,cocktail glass
yolanda,cocktail classics,1/2 oz,brandy,1/2 oz,gin,1/2 oz,anisette,1 oz,sweet vermouth,1 oz,grenadine,,,cocktail glass
yellow rattler,cocktail classics,1 oz,gin,1 oz,orange juice,1/2 oz,dry vermouth,1/2 oz,sweet vermouth,,,,,cocktail glass
why not?,cocktail classics,1 oz,gin,1 oz,apricot flavored brandy,1/2 oz,dry vermouth,1 oz,lemon juice,,,,,cocktail glass
amaretto stinger,cordials and liqueurs,1 1/2 oz,amaretto,3/4 oz,white creme de menthe,,,,,,,,,cocktail glass
what the hell,cocktail classics,1 oz,gin,1 oz,dry vermouth,1 oz,apricot flavored brandy,1 oz,lemon juice,,,,,old-fashioned glass
webster cocktail,cocktail classics,1/2 oz,juice of a lime,1 1/2 oz,apricot flavored brandy,1/2 oz,dry vermouth,1 oz,gin,,,,,cocktail glass
union jack cocktail,cocktail classics,3/4 oz,sloe gin,1 1/2 oz,gin,1/2 oz,grenadine,,,,,,,cocktail glass
jocose julep,whiskies,2 1/2 oz,bourbon whiskey,1/2 oz,green creme de menthe,1 oz,fresh lime juice,1/2 oz,simple syrup,5 oz,fresh mint leaves,,soda water,collins glass
trinity cocktail,cocktail classics,3/4 oz,sweet vermouth,3/4 oz,dry vermouth,3/4 oz,gin,,,,,,,cocktail glass
